Date,Cash,Equity,OpenPositions
2000-09-20,3614.5472609721564,77925.05786082377,8
2000-09-21,3614.5472609721564,78321.16170212855,8
2000-09-22,75525.36712522044,75525.36712522044,0
2000-09-25,75525.36712522044,75525.36712522044,0
2000-09-26,2403.4732282082023,75234.04483877815,8
2000-09-27,2403.4732282082023,75933.83990191616,8
2000-09-28,74698.09416071237,74698.09416071237,0
2000-09-29,74698.09416071237,74698.09416071237,0
2000-10-02,7551.057722346426,74430.57608725273,6
2000-10-03,7551.057722346426,74292.82076718056,6
2000-10-04,7551.057722346426,76118.23035361015,6
2000-10-05,7551.057722346426,76928.0562193557,6
2000-10-06,5419.691669717915,76218.74954970229,13
2000-10-09,5402.834751175061,77938.51470504822,13
2000-10-10,80010.99989811052,80010.99989811052,0
2000-10-11,6222.085520577561,79717.02015955461,7
2000-10-12,6222.085520577561,79973.85927541269,7
2000-10-13,4175.153806053532,77673.781876408,14
2000-10-16,4157.654132703447,77581.38105330816,14
2000-10-17,78733.24727767336,78733.24727767336,0
2000-10-18,9716.093890565511,78458.2785390793,7
2000-10-19,9716.093890565511,79109.8603984295,7
2000-10-20,9716.093890565511,79077.22073354112,7
2000-10-23,9716.093890565511,78474.65457929956,7
2000-10-24,9716.093890565511,78385.72366704332,7
2000-10-25,9716.093890565511,81656.90986885416,7
2000-10-26,9716.093890565511,82666.06051768648,7
2000-10-27,9716.093890565511,83611.72342123376,7
2000-10-30,9716.093890565511,82978.01548518526,7
2000-10-31,9716.093890565511,83876.43331231462,7
2000-11-01,9716.093890565511,85654.5621580063,7
2000-11-02,9716.093890565511,86713.34015836107,7
2000-11-03,9716.093890565511,88559.81885613786,7
2000-11-06,9716.093890565511,87570.11019529687,7
2000-11-07,87897.34856233942,87897.34856233942,0
2000-11-08,14636.735438075655,87605.47360965311,3
2000-11-09,2631.71812381693,87473.47588434168,7
2000-11-10,2611.517705302519,89654.6569876483,7
2000-11-13,91715.0573074544,91715.0573074544,0
2000-11-14,91715.0573074544,91715.0573074544,0
2000-11-15,4284.024751695118,91000.67726531836,7
2000-11-16,4263.377929668064,91602.26817903959,7
2000-11-17,91497.6631990391,91497.6631990391,0
2000-11-20,91497.6631990391,91497.6631990391,0
2000-11-21,91497.6631990391,91497.6631990391,0
2000-11-22,91497.6631990391,91497.6631990391,0
2000-11-23,91497.6631990391,91497.6631990391,0
2000-11-24,15828.255502565029,91196.19145522846,3
2000-11-27,15828.255502565029,92743.88319860233,3
2000-11-28,3965.524775480052,92272.00162587049,7
2000-11-29,3944.499423849007,92032.07481621446,7
2000-11-30,3923.474072217962,93117.18657433988,7
2000-12-01,92991.94846293071,92991.94846293071,0
2000-12-04,92991.94846293071,92991.94846293071,0
2000-12-05,92991.94846293071,92991.94846293071,0
2000-12-06,16744.576362436324,92688.17407209208,3
2000-12-07,16744.576362436324,92814.5494573765,3
2000-12-08,4570.381916360926,92961.47315223701,7
2000-12-11,4549.336418447621,90870.20120531095,7
2000-12-12,4528.290920534317,89638.1713190462,7
2000-12-13,4507.245422621012,86551.06571104073,7
2000-12-14,86747.88733477617,86747.88733477617,0
2000-12-15,16999.299873432403,86470.00451620508,3
2000-12-18,4196.273554339185,85717.36578912952,7
2000-12-19,88169.9058727863,88169.9058727863,0
2000-12-20,17709.487639811297,87889.18707504537,3
2000-12-21,17709.487639811297,87332.13746681478,3
2000-12-22,11335.831777709729,84865.72606416345,6
2000-12-25,11318.324660022481,84848.2189464762,6
2000-12-26,86217.96262580846,86217.96262580846,0
2000-12-27,86217.96262580846,86217.96262580846,0
2000-12-28,15505.626238904697,85936.24017008374,3
2000-12-29,15505.626238904697,87756.21563776562,3
2001-01-01,15505.626238904697,88060.12172373364,3
2001-01-02,15505.626238904697,88161.7495323045,3
2001-01-03,3774.0754576867657,88542.2013642138,7
2001-01-04,3753.892570566164,89592.2205920329,7
2001-01-05,3733.7096834455624,87981.1148060237,7
2001-01-08,3713.5267963249607,86632.38501720023,7
2001-01-09,85439.59413294434,85439.59413294434,0
2001-01-10,1939.5292756806805,84757.33317699541,7
2001-01-11,1919.810750942272,83927.019618969,7
2001-01-12,1900.0922262038637,83195.11670153994,7
2001-01-15,79023.55269750113,79023.55269750113,0
2001-01-16,2025.9795014978542,78394.42219342005,18
2001-01-17,77287.80664951765,77287.80664951765,0
2001-01-18,77287.80664951765,77287.80664951765,0
2001-01-19,2418.5502399790475,76676.06616121413,18
2001-01-22,74472.94698471477,74472.94698471477,0
2001-01-23,74472.94698471477,74472.94698471477,0
2001-01-24,74472.94698471477,74472.94698471477,0
2001-01-25,74472.94698471477,74472.94698471477,0
2001-01-26,74472.94698471477,74472.94698471477,0
2001-01-29,74472.94698471477,74472.94698471477,0
2001-01-30,5105.9752090780985,74196.58454736164,8
2001-01-31,5105.9752090780985,74209.603667578,8
2001-02-01,1355.702480740454,72671.27832705488,16
2001-02-02,70583.48423099605,70583.48423099605,0
2001-02-05,688.2762700554644,70012.38561590879,17
2001-02-06,671.7705297350228,70245.31266956322,17
2001-02-07,70453.01277618259,70453.01277618259,0
2001-02-08,70453.01277618259,70453.01277618259,0
2001-02-09,70453.01277618259,70453.01277618259,0
2001-02-12,70453.01277618259,70453.01277618259,0
2001-02-13,70453.01277618259,70453.01277618259,0
2001-02-14,70453.01277618259,70453.01277618259,0
2001-02-15,341.666982924864,70173.6847052931,8
2001-02-16,341.666982924864,69026.88485125295,8
2001-02-19,341.666982924864,69032.43627694837,8
2001-02-20,341.666982924864,68764.92524675123,8
2001-02-21,341.666982924864,68117.71878973237,8
2001-02-22,341.666982924864,67176.59191576234,8
2001-02-23,341.666982924864,65865.244576013,8
2001-02-26,341.666982924864,65673.7718735098,8
2001-02-27,341.666982924864,65368.50578883879,8
2001-02-28,341.666982924864,65677.78493551008,8
2001-03-01,341.666982924864,66178.03126338712,8
2001-03-02,341.666982924864,65995.16605881444,8
2001-03-05,7278.643486831114,64299.69606683008,7
2001-03-06,7278.643486831114,64299.69606683008,7
2001-03-07,7278.643486831114,64170.563265654964,7
2001-03-08,7278.643486831114,64250.82952008001,7
2001-03-09,14177.584572994634,62923.686507427614,6
2001-03-12,20486.974206600593,60780.27810636561,5
2001-03-13,4626.231199652121,59567.59053125994,7
2001-03-14,4626.231199652121,59977.04136624949,7
2001-03-15,4626.231199652121,61481.17519429343,7
2001-03-16,4626.231199652121,61117.71808365004,7
2001-03-19,4626.231199652121,60449.62951424735,7
2001-03-20,4626.231199652121,60129.56115594523,7
2001-03-21,4626.231199652121,60321.065692454744,7
2001-03-22,4626.231199652121,60201.533750802446,7
2001-03-23,4626.231199652121,58898.20520010607,7
2001-03-26,4626.231199652121,58997.874509006906,7
2001-03-27,4626.231199652121,59962.74063697474,7
2001-03-28,4626.231199652121,60896.409570008684,7
2001-03-29,4626.231199652121,61362.370967060495,7
2001-03-30,1375.6408208377943,58892.509901381316,15
2001-04-02,1361.9463281995695,62338.512399709885,15
2001-04-03,60201.84703534526,60201.84703534526,0
2001-04-04,123.65386425131601,59962.491684066,10
2001-04-05,123.65386425131601,59962.491684066,10
2001-04-06,123.65386425131601,59443.22774945373,10
2001-04-09,123.65386425131601,59381.34826170081,10
2001-04-10,4895.9044224941135,59305.796500893775,9
2001-04-11,4895.9044224941135,57617.91838976974,9
2001-04-12,4895.9044224941135,57404.93944904441,9
2001-04-13,4895.9044224941135,57404.93944904441,9
2001-04-16,4895.9044224941135,58215.06975504989,9
2001-04-17,4895.9044224941135,59470.30068704719,9
2001-04-18,4895.9044224941135,61604.42254373664,9
2001-04-19,4895.9044224941135,60915.899392338935,9
2001-04-20,4895.9044224941135,61939.4724595272,9
2001-04-23,4895.9044224941135,61872.259738894645,9
2001-04-24,4895.9044224941135,62269.7741236412,9
2001-04-25,4895.9044224941135,62134.24425360793,9
2001-04-26,4895.9044224941135,61868.738049718086,9
2001-04-27,4895.9044224941135,60679.37393519515,9
2001-04-30,4895.9044224941135,60951.73983094329,9
2001-05-01,16131.269741530508,60371.91151099929,15
2001-05-02,6756.551129892595,58606.104479625945,24
2001-05-03,6743.806293186588,58674.67580884401,24
2001-05-04,6731.061456480581,57155.45954505499,24
2001-05-07,8360.522617150242,56198.68275373071,23
2001-05-08,55101.6475698089,55101.6475698089,0
2001-05-09,2555.6332951840786,54892.300899392074,10
2001-05-10,2555.6332951840786,54916.354776388114,10
2001-05-11,2555.6332951840786,55006.266645794814,10
2001-05-14,55404.22154722399,55404.22154722399,0
2001-05-15,55404.22154722399,55404.22154722399,0
2001-05-16,55404.22154722399,55404.22154722399,0
2001-05-17,55404.22154722399,55404.22154722399,0
2001-05-18,55404.22154722399,55404.22154722399,0
2001-05-21,2653.4155159816346,55194.058973394356,10
2001-05-22,2653.4155159816346,55701.156371317826,10
2001-05-23,2653.4155159816346,56155.05044003578,10
2001-05-24,2653.4155159816346,55733.907166801415,10
2001-05-25,2653.4155159816346,55058.78067144009,10
2001-05-28,2653.4155159816346,55719.53863128277,10
2001-05-29,2653.4155159816346,56010.409329734764,10
2001-05-30,2653.4155159816346,56434.623765550576,10
2001-05-31,2653.4155159816346,56057.85823365303,10
2001-06-01,2653.4155159816346,56046.841173373185,10
2001-06-04,2653.4155159816346,55613.786239348374,10
2001-06-05,2653.4155159816346,54271.226818166695,10
2001-06-06,19.58114854999394,54154.070731923064,12
2001-06-07,19.58114854999394,53726.20249657341,12
2001-06-08,19.58114854999394,54171.457618519744,12
2001-06-11,19.58114854999394,54785.13327126213,12
2001-06-12,19.58114854999394,55193.16151623436,12
2001-06-13,19.58114854999394,55632.18150560566,12
2001-06-14,19.58114854999394,55026.07582573601,12
2001-06-15,19.58114854999394,54017.291476890525,12
2001-06-18,19.58114854999394,52697.91893737026,12
2001-06-19,19.58114854999394,53074.30810432144,12
2001-06-20,53303.59902238079,53303.59902238079,0
2001-06-21,53303.59902238079,53303.59902238079,0
2001-06-22,53303.59902238079,53303.59902238079,0
2001-06-25,53303.59902238079,53303.59902238079,0
2001-06-26,53303.59902238079,53303.59902238079,0
2001-06-27,21474.19977207706,53176.788666801905,24
2001-06-28,21474.19977207706,53091.747857766604,24
2001-06-29,21474.19977207706,53060.76158412025,24
2001-07-02,21474.19977207706,53248.328474359965,24
2001-07-03,21474.19977207706,52456.568683462596,24
2001-07-04,52124.14869765662,52124.14869765662,0
2001-07-05,18305.82491175747,51989.41433994389,26
2001-07-06,18305.82491175747,51751.58471338368,26
2001-07-09,18305.82491175747,51715.367370053296,26
2001-07-10,49520.259163300514,52036.16776935291,2
